Recommended Cooking Times Specific to Rancho Gordo Beans and Instant Pot,,,,,
,,,,,
At least 15 minutes Natural Pressure Release (NPR) suggested for all,,,,,
,,,,,
,Time in Minutes,,,,
Bean,Soaked,Unsoaked,,,
,,,,,
Alubia Blanca,8 - 12,18 - 22,,,
Ayocote Amarillo,11 - 13,23 - 26,,,
Ayocote Blanco,12 - 15,35 - 40,,,
Ayocote Morado,8 - 10,23 - 26,,,
Ayocote Negro,14 - 16,35 - 45,,,
Bayo Chocolate,9 - 12,25 - 30,,,
Black-Eyed Peas,3,6 - 7,,,
Brown Pinquitos,10 - 12,19 - 21,,,
Brown Tepary,10 - 12,15 - 18,,,
Caballero,12 - 14,,,,
Christmas Lima,6 - 8,18 - 22,,,
Classic Cassoulet,15 - 20,35 - 45,,,
Classic Cranberry,6 - 8,23 - 27,,,
Corona,10 -12,,,,
Domingo Rojo,7 - 8,,,,
Eye of Goat,9 - 13,23 - 26,,,
Flageolet,9 - 11,22 - 25,,,
Flor de Castillo,9 - 12,25 - 30,,,
Flor de Junio,7 - 9,,,,
Garbanzo,10 - 14,32 - 35,,,
Good Mother Stallard,8 - 12,28 - 32,,,
Lila,7 - 8,,,,
Large White Lima,8 - 10,18 - 22,,,
Mayocoba,5 - 8,20 - 23,,,
Midnight Black,4 - 6,22 - 26,,,
Pinto,5 - 8,25 - 28,,,
Rebosero,28 - 32,40 - 50,,,
Red Nightfall/Mayflower,5 - 7,23 - 27,,,
Rio Zape,6 - 9,25 - 28,,,
San Franciscano,8 - 11,19 - 22,,,
Sangre de Toro,9 - 11,30 - 32,,,
Scarlet Runner,11 - 14,25 - 30,,,
Silvia,12 - 17,35 - 45,,,
Vaquero,9 - 11,28 - 31,,,
White Tepary,8 - 10,25 - 32,,,
Yellow Eye,6 - 9,26 - 28,,,
Yellow Indian Woman,8 - 10,19 - 22,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,